time, ticks/second, set point
right motor

93073016.00, 1123.88, 0.00
93081024.00, 1123.88, 0.00
93089032.00, 999.00, 0.00
93097040.00, 999.50, 0.00
93105040.00, 999.00, 0.00
93113056.00, 874.13, 0.00
93121064.00, 748.88, 0.00
93129072.00, 874.13, 0.00
93137080.00, 749.25, 0.00
93145096.00, 623.75, 0.00
93153104.00, 749.25, 0.00
93161112.00, 624.38, 0.00
93169120.00, 624.69, 0.00
93177120.00, 499.50, 0.00
93185136.00, 499.50, 0.00
93193144.00, 499.25, 0.00
93201152.00, 499.75, 0.00
93209152.00, 374.63, 0.00
93217168.00, 374.63, 0.00
93225176.00, 374.44, 0.00
93233184.00, 249.63, 0.00
93241200.00, 249.75, 0.00
93249200.00, 249.88, 0.00
93257208.00, 124.88, 0.00
93265216.00, 249.63, 0.00
93273232.00, 124.88, 0.00
93281232.00, 0.00, 0.00
93289240.00, 124.88, 0.00
93297248.00, 0.00, 0.00
93305264.00, 0.00, 0.00
93313264.00, 0.00, 0.00
93321272.00, 0.00, 0.00
93329280.00, 0.00, 0.00
93337288.00, -124.88, 0.00
93345296.00, 0.00, 0.00
93353304.00, -124.88, 0.00
93361312.00, 0.00, 0.00
93369312.00, 0.00, 0.00
93377328.00, 0.00, 0.00
93385336.00, -124.81, 0.00
93393344.00, 0.00, 0.00
93401352.00, 0.00, 0.00
93409360.00, 0.00, 0.00
93417360.00, 0.00, 0.00
93425368.00, 0.00, 0.00
93433376.00, 0.00, 0.00
93441384.00, 0.00, 0.00
93449392.00, 0.00, 0.00
93457400.00, 0.00, 0.00
93465408.00, 0.00, 0.00
93473416.00, 0.00, 0.00
93481424.00, 0.00, 0.00
93489424.00, 0.00, 0.00
93497440.00, 0.00, 0.00
93505440.00, 0.00, 0.00
93513448.00, 0.00, 0.00
93521456.00, 0.00, 0.00
93529472.00, 0.00, 0.00
93537472.00, 0.00, 0.00
93545488.00, 0.00, 0.00
93553488.00, 0.00, 0.00
93561496.00, 0.00, 0.00
93569504.00, 0.00, 0.00
93577504.00, 0.00, 0.00
93585520.00, 0.00, 0.00
93593520.00, 0.00, 0.00
93601536.00, 0.00, 0.00
93609536.00, 0.00, 0.00
93617544.00, 0.00, 0.00
93625552.00, 0.00, 0.00
93633560.00, 0.00, 0.00
93641568.00, 0.00, 0.00
93649568.00, 0.00, 0.00
93657584.00, 0.00, 0.00
93665584.00, 0.00, 0.00
93673592.00, 0.00, 0.00
93681600.00, 0.00, 0.00
93689616.00, 0.00, 0.00
93697632.00, 0.00, 0.00
93705640.00, 0.00, 0.00
93713648.00, 0.00, 0.00
93721656.00, 0.00, 0.00
93729664.00, 0.00, 0.00
93737672.00, 0.00, 0.00
93745680.00, 0.00, 0.00
93753680.00, 0.00, 0.00
93761696.00, 0.00, 0.00
93769704.00, 0.00, 0.00
93777712.00, 0.00, 0.00
93785720.00, 0.00, 0.00
93793728.00, 0.00, 0.00
93801728.00, 0.00, 0.00
93809744.00, 0.00, 0.00
93817744.00, 0.00, 0.00
93825752.00, 0.00, 0.00
93833760.00, 0.00, 0.00
93841776.00, 0.00, 0.00
93849792.00, 0.00, 0.00
93857800.00, 0.00, 0.00
93865808.00, 0.00, 0.00
93873808.00, 0.00, 0.00
93881816.00, 0.00, 0.00
93889824.00, 0.00, 0.00
93897840.00, 0.00, 0.00
93905840.00, 0.00, 0.00
93913856.00, 0.00, 0.00
93921856.00, 0.00, 0.00
93929872.00, 0.00, 0.00
93937872.00, 0.00, 0.00
93945880.00, 0.00, 0.00
93953888.00, 0.00, 0.00
93961888.00, 0.00, 0.00
93969904.00, 0.00, 0.00
93977904.00, 0.00, 0.00
93985920.00, 0.00, 0.00
93993920.00, 0.00, 0.00
94001928.00, 0.00, 0.00
94009936.00, 0.00, 0.00
94017936.00, 0.00, 0.00
94025952.00, 0.00, 0.00
94033952.00, 0.00, 0.00
94041960.00, 0.00, 0.00
94049968.00, 0.00, 0.00
94057984.00, 0.00, 0.00
94065984.00, 0.00, 0.00
94073992.00, 0.00, 0.00
94082000.00, 0.00, 0.00
94090000.00, 0.00, 0.00
94098016.00, 0.00, 0.00
94106016.00, 0.00, 0.00
94114024.00, 0.00, 0.00
94122032.00, 0.00, 0.00
94130032.00, 0.00, 0.00
94138048.00, 0.00, 0.00
94146048.00, 0.00, 0.00
94154056.00, 0.00, 0.00
94162064.00, 0.00, 0.00
94170072.00, 0.00, 0.00
94178080.00, 0.00, 0.00
94186080.00, 0.00, 0.00
94194096.00, 0.00, 0.00
94202096.00, 0.00, 0.00
94210112.00, 0.00, 0.00
94218112.00, 0.00, 0.00
94226120.00, 0.00, 0.00
94234128.00, 0.00, 0.00
94242144.00, 0.00, 0.00
94250160.00, 0.00, 0.00
94258160.00, 0.00, 0.00
94266176.00, 0.00, 0.00
94274176.00, 0.00, 0.00
94282192.00, 0.00, 0.00
94290192.00, 0.00, 0.00
94298208.00, 0.00, 0.00
94306208.00, 0.00, 0.00
94314224.00, 0.00, 0.00
94322224.00, 0.00, 0.00
94330232.00, 0.00, 0.00
94338240.00, 0.00, 0.00
94346256.00, 0.00, 0.00
94354256.00, 0.00, 0.00
94362272.00, 0.00, 0.00
94370272.00, 0.00, 0.00
94378280.00, 0.00, 0.00
94386288.00, 0.00, 0.00
94394288.00, 0.00, 0.00
94402304.00, 0.00, 0.00
94410312.00, 0.00, 0.00
94418320.00, 0.00, 0.00
94426336.00, 0.00, 0.00
94434336.00, 0.00, 0.00
94442344.00, 0.00, 0.00
94450352.00, 0.00, 0.00
94458360.00, 0.00, 0.00
94466368.00, 0.00, 0.00
94474384.00, 0.00, 0.00
94482392.00, 0.00, 0.00
94490400.00, 0.00, 0.00
94498416.00, 0.00, 0.00
94506432.00, 0.00, 0.00
94514432.00, 0.00, 0.00
94522440.00, 0.00, 0.00
94530448.00, 0.00, 0.00
94538464.00, 0.00, 0.00
94546472.00, 0.00, 0.00
94554480.00, 0.00, 0.00
94562496.00, 0.00, 0.00
94570512.00, 0.00, 0.00
94578512.00, 0.00, 0.00
94586520.00, 0.00, 0.00
94594528.00, 0.00, 0.00
94602528.00, 0.00, 0.00
94610536.00, 0.00, 0.00
94618544.00, 0.00, 0.00
94626544.00, 0.00, 0.00
94634560.00, 0.00, 0.00
94642560.00, 0.00, 0.00
94650560.00, 0.00, 0.00
94658576.00, 0.00, 0.00
94666576.00, 0.00, 0.00
94674584.00, 0.00, 0.00
94682592.00, 0.00, 0.00
94690600.00, 0.00, 0.00
94698608.00, 0.00, 0.00
94706608.00, 0.00, 0.00
94714624.00, 0.00, 0.00
94722624.00, 0.00, 0.00
94730640.00, 0.00, 0.00
94738640.00, 0.00, 0.00
94746640.00, 0.00, 0.00
94754656.00, 0.00, 0.00
94762656.00, 0.00, 0.00
94770656.00, 0.00, 0.00
94778672.00, 0.00, 0.00
94786672.00, 0.00, 0.00
94794688.00, 0.00, 0.00
94802688.00, 0.00, 0.00
94810696.00, 0.00, 0.00
94818704.00, 0.00, 0.00
94826704.00, 0.00, 0.00
94834720.00, 0.00, 0.00
94842720.00, 0.00, 0.00
94850728.00, 0.00, 0.00
94858736.00, 0.00, 0.00
94866752.00, 0.00, 0.00
94874768.00, 0.00, 0.00
95878304.00, -1.00, -300.00
95886312.00, 0.00, -300.00
95894320.00, 0.00, -300.00
95902336.00, 0.00, -300.00
95910336.00, -499.50, -300.00
95918344.00, -749.63, -300.00
95926352.00, -874.56, -300.00
95934352.00, -1123.88, -300.00
95942360.00, -1249.38, -300.00
95950368.00, -1248.75, -300.00
95958376.00, -1373.63, -300.00
95966384.00, -1373.63, -300.00
95974392.00, -1373.63, -300.00
95982400.00, -1372.94, -300.00
95990416.00, -1498.50, -300.00
95998416.00, -1498.50, -300.00
96006432.00, -1623.38, -300.00
96014440.00, -1622.57, -300.00
96022448.00, -1747.38, -300.00
96030456.00, -1749.13, -300.00
96038464.00, -1748.25, -300.00
96046464.00, -1749.13, -300.00
96054480.00, -1873.13, -300.00
96062480.00, -1873.13, -300.00
96070496.00, -1873.13, -300.00
96078496.00, -1873.13, -300.00
96086512.00, -1998.00, -300.00
96094512.00, -1998.00, -300.00
96102520.00, -1999.00, -300.00
96110528.00, -1997.00, -300.00
96118544.00, -1998.00, -300.00
96126552.00, -1997.00, -300.00
96134560.00, -1997.00, -300.00
96142568.00, -1999.00, -300.00
96150576.00, -1997.00, -300.00
96158584.00, -1999.00, -300.00
96166592.00, -1997.00, -300.00
96174608.00, -1998.00, -300.00
96182608.00, -2122.88, -300.00
96190624.00, -1998.00, -300.00
96198624.00, -2122.88, -300.00
96206640.00, -2122.88, -300.00
96214640.00, -2122.88, -300.00
96222648.00, -2248.88, -300.00
96230656.00, -2247.75, -300.00
96238664.00, -2372.63, -300.00
96246672.00, -2372.63, -300.00
96254680.00, -2247.75, -300.00
96262704.00, -2244.39, -300.00
96270704.00, -2123.94, -300.00
96278704.00, -2248.88, -300.00
