// This data is used to show the mapping from input to output when under no load.
// There is a dead zone region, and the mapping may not be linear.
// Ticks / second; Input (PWM units -1024 -> 1024)
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -30.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -20.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, -10.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 0.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 10.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 20.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 30.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 40.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 50.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
